LOSSFILE	
FileFormatVersion	YLT_1.1
LossTableHeaderFormat	Manual Import
LossTableHeaderProducer	MAT-R
LossTableType	YLT
LossTableBasis	AM
CreateDate	2018-08-07
Model	Elements
ModelProvider	IF
ModelSystem	Elements
ModelSystemVersion	10.0.0.0
ModelSystemInstance	PRD
ResultsDatabaseName	IF_RES_2018_THFL
User	U000886
Simulation_Set_Id	7511
Peril	FL
Region	Thailand
Model_Version	10.0.0.0
ModelModule	DLM
Geo_Code	THA
SourceResultsReference	42
ResultsName	FPG_QS_SPL - FPG_QS_SPL
ResultsDescription	NA
Run_Date	2018-06-27
Run_Date	2018-06-27
Currency	THB
FinPerspective	GU
Years	100000
SimulationPeriodBasis	1
OccurrenceBasis	PerEvent
OEP2	0
OEP5	8169385
OEP10	131946097
OEP25	565116148
OEP50	1855095265
OEP100	2171342391
OEP200	2356876878
OEP250	2391373373
OEP500	2520814472
OEP1000	2683327326
OEP5000	2969410750
OEP10000	3104076686
AAL	86965188.90267
STD	352523451.318785
COV	4.05361565664306
#[HEADER-END]
EventID	Year	MM-DD(n)	Value
751100220	11991	09-24(0)	644081134
751100220	31851	09-09(0)	644081134
751100220	46959	06-14(0)	644081134
751100223	12002	06-13(0)	1525269
751100223	14931	10-12(0)	1525269
751100223	45370	09-02(0)	1525269
751100223	46895	10-11(0)	1525269
751100223	53753	08-26(0)	1525269
751100223	62118	07-14(0)	1525269
751100223	64853	06-25(0)	1525269
751100224	42463	05-18(0)	237627051
751100224	93122	08-07(0)	237627051
751100224	93919	06-16(0)	237627051
751100225	1846	07-25(0)	205145311
751100225	43176	05-25(0)	205145311
751100225	64685	06-16(0)	205145311
751100227	6735	06-10(0)	284629941
751100227	66782	08-07(0)	284629941
751100227	72867	05-25(0)	284629941
751100227	73591	07-08(0)	284629941
751100227	82715	09-18(0)	284629941
751100227	91608	07-20(0)	284629941
751100227	93560	09-02(0)	284629941
751100228	17152	08-19(0)	6763359
751100228	62951	09-08(0)	6763359
751100228	64907	08-10(0)	6763359
751100228	70335	09-25(0)	6763359
751100228	74836	10-11(0)	6763359
751100228	88679	09-24(0)	6763359
751100229	6462	07-25(0)	231436558
751100229	10618	06-29(0)	231436558
751100229	37309	08-13(0)	231436558
